Date,AAPL,MSFT,GOOGL,NVDA,TSLA
2023-10-17,175.43167114257812,327.13018798828125,138.762939453125,43.91211700439453,254.85000610351562
2023-10-18,174.1343536376953,325.2090759277344,137.01499938964844,42.171146392822266,242.67999267578125
2023-10-19,173.75807189941406,326.40118408203125,136.80642700195312,42.076202392578125,220.11000061035156
2023-10-20,171.2030792236328,321.8202209472656,134.6711883544922,41.36262512207031,211.99000549316406
2023-10-23,171.32192993164062,324.4308776855469,135.5649871826172,42.94968795776367,212.0800018310547
2023-10-24,171.7576446533203,325.62286376953125,137.85916137695312,43.63727569580078,216.52000427246094
2023-10-25,169.44036865234375,335.61236572265625,124.74958038330078,41.754390716552734,212.4199981689453
2023-10-26,165.27117919921875,323.0220642089844,121.44239044189453,40.30224609375,205.75999450683594
2023-10-27,166.58827209472656,324.91357421875,121.3331527709961,40.47614669799805,207.3000030517578
2023-10-30,168.63816833496094,332.3022155761719,123.60746765136719,41.13675308227539,197.36000061035156
2023-10-31,169.11354064941406,333.09033203125,123.2300796508789,40.7559814453125,200.83999633789062
2023-11-01,172.28250122070312,340.93218994140625,125.58383178710938,42.30007553100586,205.66000366210938
2023-11-02,175.84759521484375,343.1488037109375,126.61671447753906,43.48037338256836,218.50999450683594
2023-11-03,174.93650817871094,347.5622863769531,128.2156982421875,44.97848892211914,219.9600067138672
2023-11-06,177.4915008544922,351.2369079589844,129.35780334472656,45.72404861450195,219.27000427246094
2023-11-07,180.0563507080078,355.1775207519531,130.07286071777344,45.92793273925781,222.17999267578125
2023-11-08,181.11598205566406,357.8078308105469,130.93692016601562,46.546566009521484,222.11000061035156
2023-11-09,180.640625,355.33514404296875,129.34788513183594,46.92234420776367,209.97999572753906
2023-11-10,184.83511352539062,364.18182373046875,131.68177795410156,48.3065299987793,214.64999389648438
2023-11-13,183.24853515625,361.2361755371094,131.18521118164062,48.59135818481445,223.7100067138672
2023-11-14,185.86639404296875,364.7728576660156,132.7047119140625,49.62674331665039,237.41000366210938
2023-11-15,186.43161010742188,364.92095947265625,133.69786071777344,48.85920333862305,242.83999633789062
2023-11-16,188.11732482910156,371.3374328613281,135.99205017089844,49.45085525512695,233.58999633789062
2023-11-17,188.09750366210938,365.0986633300781,134.38316345214844,49.26896667480469,234.3000030517578
2023-11-20,189.84271240234375,372.5911865234375,135.3166961669922,50.379302978515625,235.60000610351562
2023-11-21,189.03952026367188,368.2773132324219,136.0317840576172,49.914581298828125,241.1999969482422
2023-11-22,189.70388793945312,372.9958801269531,137.54135131835938,48.68729782104492,234.2100067138672
2023-11-24,188.37515258789062,372.5812683105469,135.75369262695312,47.747859954833984,235.4499969482422
2023-11-27,188.1966552734375,373.74609375,135.4756317138672,48.213584899902344,236.0800018310547
2023-11-28,188.80152893066406,377.78363037109375,136.26019287109375,47.7928352355957,246.72000122070312
2023-11-29,187.78018188476562,373.9830627441406,134.06533813476562,48.11164855957031,244.13999938964844
2023-11-30,188.3553009033203,374.0422668457031,131.6221923828125,46.74245071411133,240.0800018310547
2023-12-01,189.63449096679688,369.69879150390625,130.956787109375,46.737449645996094,238.8300018310547
2023-12-04,187.83969116210938,364.3977966308594,128.384521484375,45.48318862915039,235.5800018310547
2023-12-05,191.7961883544922,367.73431396484375,130.09275817871094,46.54266357421875,238.72000122070312
2023-12-06,190.70541381835938,364.0621643066406,129.12939453125,45.48019027709961,239.3699951171875
2023-12-07,192.6390380859375,366.1845397949219,135.99205017089844,46.57265090942383,242.63999938964844
2023-12-08,194.06695556640625,369.42236328125,134.06533813476562,47.4821891784668,243.83999633789062
2023-12-11,191.55821228027344,366.5300598144531,132.37696838378906,46.60363006591797,239.74000549316406
2023-12-12,193.07537841796875,369.5704650878906,131.6122589111328,47.633113861083984,237.00999450683594
2023-12-13,196.298095703125,369.5605773925781,131.6619110107422,48.063907623291016,239.2899932861328
2023-12-14,196.4468231201172,361.2290344238281,131.03623962402344,48.325767517089844,251.0500030517578
2023-12-15,195.91134643554688,365.9673156738281,131.6917266845703,48.865501403808594,253.5
2023-12-18,194.24546813964844,367.8626708984375,134.8697967529297,50.05189895629883,252.0800018310547
2023-12-19,195.28662109375,368.4648742675781,135.71397399902344,49.579139709472656,257.2200012207031
2023-12-20,193.19435119628906,365.85870361328125,137.3923797607422,48.086883544921875,247.13999938964844
2023-12-21,193.0455780029297,368.7412414550781,139.45814514160156,48.96544647216797,254.5
2023-12-22,191.9746856689453,369.7678527832031,140.52081298828125,48.8055305480957,252.5399932861328
2023-12-26,191.42930603027344,369.8468322753906,140.5506134033203,49.25429916381836,256.6099853515625
2023-12-27,191.5284423828125,369.26446533203125,139.40847778320312,49.39223098754883,261.44000244140625
2023-12-28,191.95486450195312,370.4588623046875,139.2694549560547,49.4971809387207,253.17999267578125
2023-12-29,190.91366577148438,371.20916748046875,138.73313903808594,49.4971809387207,248.47999572753906
2024-01-02,184.08151245117188,366.1055603027344,137.2235565185547,48.143856048583984,248.4199981689453
2024-01-03,182.7031707763672,365.8390197753906,137.9684295654297,47.545162200927734,238.4499969482422
2024-01-04,180.3828125,363.2131652832031,135.4557342529297,47.97394561767578,237.92999267578125
2024-01-05,179.65895080566406,363.0256042480469,134.8002471923828,49.072391510009766,237.49000549316406
2024-01-08,184.00216674804688,369.87646484375,137.88897705078125,52.226810455322266,240.4499969482422
2024-01-09,183.585693359375,370.96234130859375,139.98452758789062,53.11336898803711,234.9600067138672
2024-01-10,184.62689208984375,377.8526916503906,141.30538940429688,54.32276153564453,233.94000244140625
